id,player_id,player_name,player_name_short,position,game_id,team_id,minutes,points,fg_made,fg_attempted,fg_percentage,three_pt_made,three_pt_attempted,three_pt_percentage,ft_made,ft_attempted,ft_percentage,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,technical_fouls,ejected,ortg,usg,url,scraped_timestamp
1,3922,"Pascal Siakam","P. Siakam",F,2879653,11,37,16,5,13,38.5,2,5,40.0,4,7,57.1,1,3,4,2,1,1,1,2,0,0,109.2,21.2,/basketball/player/pascal-siakam-3922,"2025-09-03 09:40:06.760394"
2,5120,"Aaron Nesmith","A. Nesmith",F,2879653,11,30,3,1,5,20.0,1,3,33.3,0,0,0.0,1,5,6,1,2,2,1,6,0,0,72.5,9.4,/basketball/player/aaron-nesmith-5120,"2025-09-03 09:40:06.763866"
3,3725,"Myles Turner","M. Turner",C,2879653,11,24,6,2,4,50.0,1,3,33.3,1,4,25.0,1,3,4,1,0,0,1,3,0,0,98.2,12.9,/basketball/player/myles-turner-3725,"2025-09-03 09:40:06.763942"
4,5679,"Andrew Nembhard","A. Nembhard",G,2879653,11,37,15,4,10,40.0,2,3,66.7,5,6,83.3,1,4,5,6,0,0,2,3,0,0,126.9,18.2,/basketball/player/andrew-nembhard-5679,"2025-09-03 09:40:06.763969"
5,5114,"Tyrese Haliburton","T. Haliburton",G,2879653,11,7,9,3,5,60.0,3,4,75.0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,-,-,/basketball/player/tyrese-haliburton-5114,"2025-09-03 09:40:06.763989"
6,5698,"Bennedict Mathurin","B. Mathurin",F,2879653,11,33,24,6,14,42.9,2,5,40.0,10,10,100.0,7,6,13,3,2,0,2,3,0,0,141.9,28.4,/basketball/player/bennedict-mathurin-5698,"2025-09-03 09:40:06.764010"
7,3760,"T.J. McConnell","T. McConnell",G,2879653,11,28,16,8,13,61.5,0,0,0.0,0,0,0.0,0,6,6,3,1,1,7,2,0,0,80.0,33.4,/basketball/player/tj-mcconnell-3760,"2025-09-03 09:40:06.764047"
8,5109,"Obi Toppin","O. Toppin",F,2879653,11,21,0,0,4,0.0,0,3,0.0,0,0,0.0,0,2,2,1,0,0,4,2,0,0,-,17.8,/basketball/player/obi-toppin-5109,"2025-09-03 09:40:06.764067"
9,6033,"Ben Sheppard","B. Sheppard",G,2879653,11,16,0,0,1,0.0,0,1,0.0,0,0,0.0,1,3,4,0,0,0,1,1,0,0,-,5.8,/basketball/player/ben-sheppard-6033,"2025-09-03 09:40:06.764090"
10,4170,"Tony Bradley","T. Bradley",C,2879653,11,5,2,0,0,0.0,0,0,0.0,2,2,100.0,0,1,1,0,0,0,1,2,0,0,-,-,/basketball/player/tony-bradley-4170,"2025-09-03 09:40:06.764107"
11,4155,"Thomas Bryant","T. Bryant",C,2879653,11,1,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-,-,/basketball/player/thomas-bryant-4155,"2025-09-03 09:40:06.764125"
12,6272,"Johnny Furphy","J. Furphy",F,2879653,11,1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,-,-,/basketball/player/johnny-furphy-6272,"2025-09-03 09:40:06.764144"
13,5687,"Jalen Williams","J. Williams",F,2879653,25,38,20,7,20,35.0,2,7,28.6,4,6,66.7,0,4,4,4,2,0,1,4,0,0,99.7,27.8,/basketball/player/jalen-williams-5687,"2025-09-03 09:40:06.764203"
14,5697,"Chet Holmgren","C. Holmgren",F,2879653,25,31,18,6,8,75.0,1,2,50.0,5,8,62.5,2,6,8,0,1,5,0,3,0,0,162.2,16.3,/basketball/player/chet-holmgren-5697,"2025-09-03 09:40:06.764223"
15,4147,"Isaiah Hartenstein","I. Hartenstein",C,2879653,25,18,7,3,4,75.0,0,0,0.0,1,3,33.3,3,6,9,4,1,0,2,0,0,0,120.1,18.0,/basketball/player/isaiah-hartenstein-4147,"2025-09-03 09:40:06.764241"
16,4387,"Shai Gilgeous-Alexander","S. Gilgeous-Alexander",G,2879653,25,40,29,8,27,29.6,2,12,16.7,11,12,91.7,0,5,5,12,1,2,1,5,0,0,114.3,37.0,/basketball/player/shai-gilgeous-alexander-4387,"2025-09-03 09:40:06.764259"
17,4808,"Luguentz Dort","L. Dort",G,2879653,25,35,9,3,10,30.0,2,9,22.2,1,2,50.0,3,4,7,0,3,0,1,3,0,0,93.3,15.2,/basketball/player/luguentz-dort-4808,"2025-09-03 09:40:06.764276"
18,3952,"Alex Caruso","A. Caruso",G,2879653,25,32,10,4,10,40.0,2,5,40.0,0,0,0.0,2,1,3,0,3,1,0,3,0,0,114.3,14.1,/basketball/player/alex-caruso-3952,"2025-09-03 09:40:06.764293"
19,5898,"Cason Wallace","C. Wallace",G,2879653,25,26,10,4,6,66.7,2,3,66.7,0,0,0.0,2,0,2,0,3,0,1,3,0,0,140.2,12.1,/basketball/player/cason-wallace-5898,"2025-09-03 09:40:06.764312"
20,5412,"Aaron Wiggins","A. Wiggins",F,2879653,25,12,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,1,0,0,-,3.8,/basketball/player/aaron-wiggins-5412,"2025-09-03 09:40:06.764330"
